"filename", "language", "JSON", "Markdown", "Log", "Python", "toml", "comment", "blank", "total"
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\T1.3保存会话\FINAL_T1.3保存会话.md", "Markdown", 0, 112, 0, 0, 0, 0, 34, 146
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\T1.3保存会话\TASK_T1.3保存会话.md", "Markdown", 0, 182, 0, 0, 0, 0, 49, 231
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\T1.3保存会话\TODO_T1.3保存会话.md", "Markdown", 0, 105, 0, 0, 0, 0, 38, 143
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\协议统计\ACCEPTANCE_协议统计.md", "Markdown", 0, 210, 0, 0, 0, 0, 46, 256
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\协议统计\FIX_REPORT_CSVExport.md", "Markdown", 0, 116, 0, 0, 0, 0, 35, 151
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\协议统计\FIX_REPORT_ChartDisplay.md", "Markdown", 0, 80, 0, 0, 0, 0, 15, 95
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\单元测试修复\ACCEPTANCE_单元测试修复.md", "Markdown", 0, 55, 0, 0, 0, 0, 19, 74
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\单元测试修复\FINAL_单元测试修复.md", "Markdown", 0, 83, 0, 0, 0, 0, 26, 109
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\导出数据统计指标修复\FINAL_导出数据统计指标修复.md", "Markdown", 0, 121, 0, 0, 0, 0, 37, 158
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\导出数据统计指标修复\TODO_导出数据统计指标修复.md", "Markdown", 0, 109, 0, 0, 0, 0, 34, 143
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\打开会话功能\ACCEPTANCE_打开会话功能.md", "Markdown", 0, 117, 0, 0, 0, 0, 32, 149
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\打开会话功能\FINAL_打开会话功能.md", "Markdown", 0, 109, 0, 0, 0, 0, 33, 142
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\打开会话功能\TODO_打开会话功能.md", "Markdown", 0, 109, 0, 0, 0, 0, 29, 138
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\捕获选项功能\ACCEPTANCE_捕获选项功能.md", "Markdown", 0, 99, 0, 0, 0, 0, 21, 120
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\捕获选项功能\ALIGNMENT_捕获选项功能.md", "Markdown", 0, 148, 0, 0, 0, 0, 34, 182
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\捕获选项功能\CONSENSUS_捕获选项功能.md", "Markdown", 0, 113, 0, 0, 0, 0, 28, 141
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\捕获选项功能\DESIGN_捕获选项功能.md", "Markdown", 0, 325, 0, 0, 0, 0, 77, 402
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\捕获选项功能\FINAL_捕获选项功能.md", "Markdown", 0, 144, 0, 0, 0, 0, 38, 182
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\捕获选项功能\TASK_捕获选项功能.md", "Markdown", 0, 360, 0, 0, 0, 0, 90, 450
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\捕获选项功能\TODO_捕获选项功能.md", "Markdown", 0, 145, 0, 0, 0, 0, 44, 189
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\数据包详情显示\ACCEPTANCE_数据包详情显示.md", "Markdown", 0, 118, 0, 0, 0, 0, 32, 150
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\数据包详情显示\ALIGNMENT_数据包详情显示.md", "Markdown", 0, 115, 0, 0, 0, 0, 28, 143
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\数据包详情显示\APPROVAL_数据包详情显示.md", "Markdown", 0, 227, 0, 0, 0, 0, 84, 311
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\数据包详情显示\CONSENSUS_数据包详情显示.md", "Markdown", 0, 118, 0, 0, 0, 0, 31, 149
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\数据包详情显示\DEBUG_数据包详情显示.md", "Markdown", 0, 141, 0, 0, 0, 0, 40, 181
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\数据包详情显示\DESIGN_数据包详情显示.md", "Markdown", 0, 429, 0, 0, 0, 0, 91, 520
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\数据包详情显示\FINAL_数据包详情显示.md", "Markdown", 0, 179, 0, 0, 0, 0, 43, 222
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\数据包详情显示\TASK_数据包详情显示.md", "Markdown", 0, 378, 0, 0, 0, 0, 97, 475
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\数据包详情显示\TODO_数据包详情显示.md", "Markdown", 0, 67, 0, 0, 0, 0, 22, 89
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\pyproject.toml", "toml", 0, 0, 0, 0, 79, 0, 10, 89
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\__init__.py", "Python", 0, 0, 0, 12, 0, 7, 3, 22
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\analysis\__init__.py", "Python", 0, 0, 0, 8, 0, 5, 2, 15
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\analysis\arp_parser.py", "Python", 0, 0, 0, 103, 0, 85, 30, 218
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\analysis\base_parser.py", "Python", 0, 0, 0, 66, 0, 62, 27, 155
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\analysis\ethernet_parser.py", "Python", 0, 0, 0, 56, 0, 63, 24, 143
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\analysis\ip_parser.py", "Python", 0, 0, 0, 139, 0, 103, 48, 290
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\analysis\packet_cache.py", "Python", 0, 0, 0, 124, 0, 97, 37, 258
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\analysis\packet_formatter.py", "Python", 0, 0, 0, 188, 0, 118, 62, 368
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\analysis\protocol_parser.py", "Python", 0, 0, 0, 157, 0, 96, 49, 302
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\analysis\transport_parser.py", "Python", 0, 0, 0, 149, 0, 115, 50, 314
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\capture\__init__.py", "Python", 0, 0, 0, 2, 0, 5, 2, 9
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\capture\packet_capture.py", "Python", 0, 0, 0, 163, 0, 86, 46, 295
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\config\__init__.py", "Python", 0, 0, 0, 2, 0, 5, 2, 9
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\config\settings.py", "Python", 0, 0, 0, 137, 0, 73, 35, 245
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\__init__.py", "Python", 0, 0, 0, 2, 0, 5, 2, 9
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\components\__init__.py", "Python", 0, 0, 0, 8, 0, 5, 2, 15
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\components\bpf_validator.py", "Python", 0, 0, 0, 211, 0, 59, 57, 327
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\components\capture_options_dialog.py", "Python", 0, 0, 0, 438, 0, 121, 148, 707
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\components\filter_template_manager.py", "Python", 0, 0, 0, 304, 0, 90, 63, 457
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\components\interface_info_provider.py", "Python", 0, 0, 0, 238, 0, 103, 59, 400
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\dialogs\__init__.py", "Python", 0, 0, 0, 2, 0, 6, 2, 10
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\dialogs\protocol_stats_dialog.py", "Python", 0, 0, 0, 347, 0, 100, 101, 548
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\main_window.py", "Python", 0, 0, 0, 1167, 0, 459, 187, 1813
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\main.py", "Python", 0, 0, 0, 72, 0, 26, 21, 119
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\processing\__init__.py", "Python", 0, 0, 0, 2, 0, 5, 2, 9
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\processing\data_processor.py", "Python", 0, 0, 0, 403, 0, 165, 101, 669
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\statistics\__init__.py", "Python", 0, 0, 0, 3, 0, 5, 2, 10
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\statistics\protocol_statistics.py", "Python", 0, 0, 0, 259, 0, 91, 53, 403
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\statistics\statistics_visualizer.py", "Python", 0, 0, 0, 311, 0, 141, 81, 533
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\storage\__init__.py", "Python", 0, 0, 0, 2, 0, 5, 2, 9
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\storage\data_manager.py", "Python", 0, 0, 0, 358, 0, 278, 82, 718
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\test_insert_packets.py", "Python", 0, 0, 0, 131, 0, 20, 26, 177
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\test_all_packets.py", "Python", 0, 0, 0, 40, 0, 5, 12, 57
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\test_csv_export_fix.py", "Python", 0, 0, 0, 118, 0, 20, 27, 165
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\test_duplicate_fix.py", "Python", 0, 0, 0, 106, 0, 19, 24, 149
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\test_gui_integration.py", "Python", 0, 0, 0, 87, 0, 12, 27, 126
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\test_gui_packet_details.py", "Python", 0, 0, 0, 50, 0, 10, 16, 76
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\test_new_session.py", "Python", 0, 0, 0, 170, 0, 20, 39, 229
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\test_open_session.py", "Python", 0, 0, 0, 28, 0, 11, 14, 53
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\test_protocol_statistics.py", "Python", 0, 0, 0, 143, 0, 22, 34, 199
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\test_protocol_statistics_core.py", "Python", 0, 0, 0, 229, 0, 36, 61, 326
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\test_protocol_stats_comprehensive.py", "Python", 0, 0, 0, 324, 0, 49, 91, 464
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\test_protocol_stats_dialog.py", "Python", 0, 0, 0, 86, 0, 22, 35, 143
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\test_protocol_stats_fix.py", "Python", 0, 0, 0, 72, 0, 16, 23, 111
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\test_protocol_stats_simple.py", "Python", 0, 0, 0, 171, 0, 32, 52, 255
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\test_save_session.py", "Python", 0, 0, 0, 118, 0, 47, 46, 211
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\test_session_functionality.py", "Python", 0, 0, 0, 102, 0, 19, 19, 140
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\test_session_id_fix.py", "Python", 0, 0, 0, 160, 0, 21, 29, 210
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\test_session_load.py", "Python", 0, 0, 0, 73, 0, 15, 20, 108
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\test_statistics_visualizer.py", "Python", 0, 0, 0, 229, 0, 51, 81, 361
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\tests\__init__.py", "Python", 0, 0, 0, 0, 0, 5, 0, 5
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\tests\test_analysis.py", "Python", 0, 0, 0, 420, 0, 114, 135, 669
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\tests\test_capture.py", "Python", 0, 0, 0, 247, 0, 81, 92, 420
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\tests\test_capture_options.py", "Python", 0, 0, 0, 297, 0, 71, 80, 448
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\tests\test_config.py", "Python", 0, 0, 0, 77, 0, 25, 28, 130
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\tests\test_gui.py", "Python", 0, 0, 0, 485, 0, 158, 164, 807
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\tests\test_integration.py", "Python", 0, 0, 0, 301, 0, 94, 87, 482
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\tests\test_processing.py", "Python", 0, 0, 0, 245, 0, 69, 83, 397
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\tests\test_storage.py", "Python", 0, 0, 0, 131, 0, 42, 38, 211
"d:\项目\计算机网络课设\docs\GUI集成\ACCEPTANCE_GUI集成.md", "Markdown", 0, 199, 0, 0, 0, 0, 28, 227
"d:\项目\计算机网络课设\docs\GUI集成\ALIGNMENT_GUI集成.md", "Markdown", 0, 96, 0, 0, 0, 0, 26, 122
"d:\项目\计算机网络课设\docs\GUI集成\ALIGNMENT_T1.1新建会话.md", "Markdown", 0, 97, 0, 0, 0, 0, 31, 128
"d:\项目\计算机网络课设\docs\GUI集成\CONSENSUS_T1.1新建会话.md", "Markdown", 0, 73, 0, 0, 0, 0, 20, 93
"d:\项目\计算机网络课设\docs\GUI集成\DEBUG_GUI集成.md", "Markdown", 0, 224, 0, 0, 0, 0, 86, 310
"d:\项目\计算机网络课设\docs\GUI集成\DESIGN_GUI集成.md", "Markdown", 0, 286, 0, 0, 0, 0, 71, 357
"d:\项目\计算机网络课设\docs\GUI集成\DESIGN_T1.1新建会话.md", "Markdown", 0, 288, 0, 0, 0, 0, 83, 371
"d:\项目\计算机网络课设\docs\GUI集成\FINAL_GUI集成.md", "Markdown", 0, 188, 0, 0, 0, 0, 50, 238
"d:\项目\计算机网络课设\docs\GUI集成\TASK_GUI集成.md", "Markdown", 0, 300, 0, 0, 0, 0, 83, 383
"d:\项目\计算机网络课设\docs\GUI集成\TASK_T1.1新建会话.md", "Markdown", 0, 288, 0, 0, 0, 0, 69, 357
"d:\项目\计算机网络课设\docs\GUI集成\TODO_GUI集成.md", "Markdown", 0, 142, 0, 0, 0, 0, 36, 178
"d:\项目\计算机网络课设\docs\GUI集成\功能完成任务列表.md", "Markdown", 0, 211, 0, 0, 0, 0, 57, 268
"d:\项目\计算机网络课设\docs\HANDOVER_TO_CLAUDE.md", "Markdown", 0, 73, 0, 0, 0, 0, 31, 104
"d:\项目\计算机网络课设\docs\剩余功能实现\ACCEPTANCE_协议统计.md", "Markdown", 0, 325, 0, 0, 0, 0, 74, 399
"d:\项目\计算机网络课设\docs\剩余功能实现\ALIGNMENT_剩余功能实现.md", "Markdown", 0, 135, 0, 0, 0, 0, 39, 174
"d:\项目\计算机网络课设\docs\剩余功能实现\APPROVAL_协议统计.md", "Markdown", 0, 167, 0, 0, 0, 0, 57, 224
"d:\项目\计算机网络课设\docs\剩余功能实现\DESIGN_协议统计.md", "Markdown", 0, 320, 0, 0, 0, 0, 88, 408
"d:\项目\计算机网络课设\docs\剩余功能实现\FINAL_协议统计.md", "Markdown", 0, 187, 0, 0, 0, 0, 52, 239
"d:\项目\计算机网络课设\docs\剩余功能实现\FIX_REPORT_ChartConfig.md", "Markdown", 0, 124, 0, 0, 0, 0, 31, 155
"d:\项目\计算机网络课设\docs\剩余功能实现\TASK_协议统计.md", "Markdown", 0, 247, 0, 0, 0, 0, 65, 312
"d:\项目\计算机网络课设\docs\剩余功能实现\TODO_协议统计.md", "Markdown", 0, 169, 0, 0, 0, 0, 40, 209
"d:\项目\计算机网络课设\docs\剩余功能实现\VERIFICATION_协议统计.md", "Markdown", 0, 168, 0, 0, 0, 0, 49, 217
"d:\项目\计算机网络课设\docs\网络流量统计\ACCEPTANCE_网络流量统计.md", "Markdown", 0, 240, 0, 0, 0, 0, 32, 272
"d:\项目\计算机网络课设\docs\网络流量统计\ALIGNMENT_网络流量统计.md", "Markdown", 0, 114, 0, 0, 0, 0, 30, 144
"d:\项目\计算机网络课设\docs\网络流量统计\APPROVAL_网络流量统计.md", "Markdown", 0, 144, 0, 0, 0, 0, 53, 197
"d:\项目\计算机网络课设\docs\网络流量统计\CONSENSUS_网络流量统计.md", "Markdown", 0, 95, 0, 0, 0, 0, 22, 117
"d:\项目\计算机网络课设\docs\网络流量统计\DESIGN_网络流量统计.md", "Markdown", 0, 376, 0, 0, 0, 0, 85, 461
"d:\项目\计算机网络课设\docs\网络流量统计\TASK_网络流量统计.md", "Markdown", 0, 353, 0, 0, 0, 0, 74, 427
"d:\项目\计算机网络课设\docs\课程设计报告.md", "Markdown", 0, 65, 0, 0, 0, 0, 33, 98
"d:\项目\计算机网络课设\logs\network_analyzer.log", "Log", 0, 0, 1955, 0, 0, 0, 1, 1956
"d:\项目\计算机网络课设\课程设计要求以及实验报告模板\网络综合实践_课程设计要求.md", "Markdown", 0, 58, 0, 0, 0, 0, 87, 145
"Total", "-", 6, 12937, 1955, 11161, 79, 3873, 6546, 36557
